GameID,TournamentName,StartDate,EndDate,City,Country,TeamPlay,TotalUSDPrize,year
5079,Call of Duty Championship 2014,3/28/14,3/30/14,Los Angeles,United States,1,1000000,14
6418,The International 2014,7/8/14,7/21/14,Seattle/Washington,United States,1,10931103,14
7376,LoL 2014 World Championship,9/18/14,10/19/14,Taipei/Singapore,Taiwan/Singapore,1,2130000,14
9205,DAC 2015,1/5/15,2/9/15,Shangai,China,1,3057521,15
8885,Smite World Championship 2015,1/9/15,1/1/15,Atlanta,United States,1,2612259,15
9797,Call of Duty Championship 2015,3/27/15,3/29/15,Los Angeles,United States,1,1000000,15
12894,The International 2015,8/3/15,8/8/15,Seattle/Washington,United States,1,18429613.05,15
15149,LoL 2015 World Championship,10/1/15,10/31/15,Paris,France,1,2130000,15
15444,The Frankfurt Major 2015,11/16/15,11/21/15,Frankfurt,Germany,1,3000000,15
15987,World Cyber Arena 2015 (Dota 2),12/17/15,12/20/15,Yinchuan,China,1,677284.4,15
16337,Smite World Championship 2016,1/7/16,1/1/16,Atlanta,United States,1,1000000,16
18248,LPL Spring 2016,1/14/16,4/23/16,,China,1,540291.5,16
17314,The Shanghai Major 2016,3/2/16,3/6/16,Shangai,China,1,3000000,16
17526,Halo World Championship 2016,3/18/16,3/20/16,Hollywood,United States,1,2500000,16
17693,MLG Major Championship: Columbus 2016,3/29/16,4/3/16,Colombus,United States,1,1000000,16
18500,ESL Pro League S3 Finals,5/11/16,5/15/16,Leicester,United Kingdom,1,513130,16
19191,ELEAGUE Season 1,5/24/16,7/30/16,Atlanta,United States,1,1410000,16
19389,LPL Summer 2016,5/26/16,8/26/16,,China,1,526799,16
18758,The Manila Major 2016,6/3/16,6/12/16,Manila,Philippines,1,3000000,16
18847,Esports Championship Series Season 1 - Finals,6/24/16,6/26/16,London,United Kingdom,1,765000,16
18983,ESL One: Cologne 2016,7/5/16,7/10/16,Cologne,Germany,1,1000000,16
19287,The International 2016,8/3/16,8/13/16,Seattle,United States,1,20770460,16
19565,Call of Duty XP Championship 2016,9/1/16,9/4/16,Los Angeles,United States,1,2000000,16
21485,Dota2 Professional League Season 2 - Top,9/2/16,12/31/16,,Online,1,700000,16
20345,LoL 2016 World Championship,9/29/16,10/29/16,San Francisco,United States,1,5070000,16
20812,ELEAGUE Season 2,10/21/16,12/3/16,Atlanta,United States,1,1100000,16
20476,BlizzCon 2016 (Hearthstone),10/26/16,11/5/16,Burbank/Anaheim,United States,0,1000000,16
20484,HGC 2016 - Fall Finals,10/26/16,11/5/16,Burbank/Anaheim,United States,1,1000000,16
20372,ESL Pro League Season 4: Finals,10/26/16,10/30/16,São Paulo,Brazil,1,580000,16
20867,The Boston Major 2016,12/3/16,12/10/16,Boston,United States,1,3000000,16
20896,Esports Championship Series Season 2 - Finals,12/9/16,12/11/16,Anaheim,United States,1,660000,16
20993,World Cyber Arena 2016 (Dota 2),12/14/16,12/16/16,Yinchuan,China,1,596226.1,16
21518,Smite World Championship 2017,1/5/17,1/8/17,Atlanta,United States,1,1000000,17
26779,2017 Las Vegas eRace,1/6/17,1/7/17,Las Vegas,United States,0,1000000,17
21643,WESG 2016 (CS:GO),1/12/17,1/15/17,Changzhou,China,1,1500000,17
21642,WESG 2016 (Dota 2),1/12/17,1/15/17,Changzhou,China,1,1500000,17
21965,ELEAGUE Major 2017,1/22/17,1/29/17,Atlanta,United States,1,1000000,17
22592,Halo World Championship 2017,3/24/17,3/26/17,Burbank,United States,1,1000000,17
22716,DAC 2017,3/27/17,4/4/17,Shanghai,China,1,611987,17
23387,CWL Global Pro League 2017 - Stage 1,4/21/17,5/28/17,Columbus,United States,1,700000,17
23088,The Kiev Major 2017,4/24/17,4/30/17,Kiev,Ukraine,1,3000000,17
23302,Mid-Season Invitational 2017,4/28/17,5/21/17,São Paulo,Brazil,1,1690000,17
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
